#integrated ctr data(1000uM pb on rcut hematite, zero inten free)
#h 	k 	l 	I 	Ier 	Bl 		DL
0.000 0.000 0.611 23.180 2.228 2.000 2.000
0.000 0.000 0.811 30.640 2.608 2.000 2.000
0.000 0.000 1.211 47.563 4.245 2.000 2.000
0.000 0.000 1.411 61.162 5.813 2.000 2.000
0.000 0.000 1.611 78.970 7.594 2.000 2.000
0.000 0.000 1.744 93.217 10.216 2.000 2.000
0.000 0.000 1.811 106.477 12.264 2.000 2.000
0.000 0.000 1.878 133.319 17.091 2.000 2.000
0.000 0.000 1.944 268.680 25.861 2.000 2.000
0.000 0.000 2.078 354.169 31.946 2.000 2.000
0.000 0.000 2.144 256.212 23.466 2.000 2.000
0.000 0.000 2.211 224.439 18.235 2.000 2.000
0.000 0.000 2.278 210.644 15.647 2.000 2.000
0.000 0.000 2.411 187.394 12.608 2.000 2.000
0.000 0.000 2.611 159.849 10.356 2.000 2.000
0.000 0.000 2.811 137.202 9.059 2.000 2.000
0.000 0.000 3.011 123.714 8.997 2.000 2.000
0.000 0.000 3.211 112.332 9.169 2.000 2.000
0.000 0.000 3.411 117.950 10.551 2.000 2.000
0.000 0.000 3.611 151.396 14.345 2.000 2.000
0.000 0.000 3.744 206.081 20.596 2.000 2.000
0.000 0.000 3.811 270.549 27.582 2.000 2.000
0.000 0.000 3.878 400.967 43.124 2.000 2.000
0.000 0.000 3.944 876.203 75.487 2.000 2.000
0.000 0.000 4.078 615.850 59.360 2.000 2.000
0.000 0.000 4.144 338.136 37.690 2.000 2.000
0.000 0.000 4.211 232.933 25.920 2.000 2.000
0.000 0.000 4.278 179.849 20.202 2.000 2.000
0.000 0.000 4.411 116.735 14.417 2.000 2.000
0.000 0.000 4.611 66.022 10.592 2.000 2.000
0.000 0.000 4.811 42.147 8.972 2.000 2.000
0.000 0.000 5.011 46.903 9.739 2.000 2.000
0.000 0.000 5.211 54.840 10.446 2.000 2.000
0.000 0.000 5.411 69.298 12.443 2.000 2.000
-0.000 2.000 -6.691 27.530 8.566 -6.278 2.000
-0.000 2.000 -6.611 34.581 10.187 -6.278 2.000
-0.000 2.000 -6.558 46.027 12.701 -6.278 2.000
-0.000 2.000 -6.531 50.938 13.364 -6.278 2.000
-0.000 2.000 -6.504 56.931 14.166 -6.278 2.000
-0.000 2.000 -6.478 62.059 16.554 -6.278 2.000
-0.000 2.000 -6.451 71.255 16.560 -6.278 2.000
-0.000 2.000 -6.424 78.218 18.366 -6.278 2.000
-0.000 2.000 -6.398 89.529 21.008 -6.278 2.000
-0.000 2.000 -6.371 117.821 25.593 -6.278 2.000
